userName;score;at;content;;
Puri Wulandari;1;16/10/2024 02.40;karena saya tidak bisa masukkkk😠😠😠;;
swag king;1;16/10/2024 02.38;video reels patah patah, sering frame drop;;
Abdul Rahman;5;16/10/2024 02.33;sangat bagus 👍;;
Agustina Huby;5;16/10/2024 02.32;Trimakasih aplikasi ini sangat menolong saya;;
Tina Gondangdua;4;16/10/2024 02.31;banyak konten yang bermanfaat inspiratif;;
Kadek Buana;1;16/10/2024 02.25;Dahlah akun ku hilang gara gara Instagram 😔😔;;
Falen Tina;5;16/10/2024 02.22;Sangat tertarik dengan APL ini;;
yuriko;5;16/10/2024 02.20;Sangat Bagus;;
Puji Wahyuni;1;16/10/2024 02.20;Kenapa ya aku tuh mau buat akun Instagram yang baru ehhh malah ada kesalahan teknis bikin emosi aja padahal udah beberapa kali aku coba tapi hasil nya nihil padahal udah aku mulai ulang 😑;;
Aji Pranoto;5;16/10/2024 02.15;Saya sangat suka bermain Instagram,sebab menambah wawasan & pengetahuan berita2;;
Kentang Kentang;1;16/10/2024 02.08;apelikasi nya tidak berguna bagi kerakyatan yang dipimpin oleh keadilan sosial ketuhanan ketuhanan yang maha esa;;
Umam Kasdu;5;16/10/2024 02.08;The bast;;
febrianti diah hapsari;3;16/10/2024 02.00;Aku memanfaatkan Instagram dengan mengikuti kuis , pada waktu itu aku ikutan kuis dan menjawab gatau kenapa katanya komenku akan dihapus tapi aku seharian gabisa buka IG aku mau mengajukan banding mau bilang salahku dimana tapi dengan IG tidak salah dianggap salah akhirnya aku terima saja cuma tetepa aja ga terima ikutan kuis jawab pertanyaan inii bukan komen di akun orang yang hate komen mohon deh jgn begini ya IG semoga kedepan lebih baik lagi;;
Setiyana Yana;5;16/10/2024 01.55;Mantap.;;
Abdul Rahman;3;16/10/2024 01.48;tolong dev, ini punya force close teross;;
Ilham Taufik;5;16/10/2024 01.42;Gimana cara nya biar bisa lagi😭🥺;;
Nuri Agustina;1;16/10/2024 01.32;👎;;
Heri Yanto;1;16/10/2024 01.26;abis upgrade malah lemot. maaf ini mah;;
Ryan Patric John;1;16/10/2024 01.25;Setiap posting foto sekarang knp jadi gak bisa lagi fitur landscape pada semua nya harus fitur potrait 😠 Tolong di perbaiki apk Instagram nya semakin lama semakin di update malah kek ngebung kya begini sialan 😡🤬 sama juga kalo mau me repost tag orang gak ada musik nya;;
Alim Kjr;1;16/10/2024 01.20;Instagram terkenal karena eveknya bukan aplikasinya ya hhahahkwkwkw 🤣🤣 kasian hahaha.;;
Udin Mahpudin;5;16/10/2024 01.20;Saya senang;;
wahyu Lenchu;2;16/10/2024 01.20;Kenapa reels nya ga bisa discroll / di refresh;;
Candy Bear;1;16/10/2024 01.19;Stress. Reels aja dibatasi;;
Sulis Lope;5;16/10/2024 01.09;Sangat bagus;;
Niel aja;5;16/10/2024 01.08;Selalu seru dan exited menggunakan layanan aplikasi instagram dengan kualitas gambar dan video yang jernih;;
Gandhi Pratama;2;16/10/2024 01.07;Ig Belum berguna di aku, Caranya dapet uang di ig gimana yak?;;
Melisa;2;16/10/2024 01.07;Tlong lah udh brkali2 nglporin gk ada balesan knpa gabisa liat story orang cuma loading trus aplg pas nnton reels cuma muter2 doang pdhl Kouta sinyal ada bgus2 gliran buka apk lain lncar2 aja cuma Ig doang yg bug ini gmn tlong yaaa!!! GK nyaman bgt;;
Siap Sipaling;5;16/10/2024 01.06;Best;;
SUPRIYANTO YSB;5;16/10/2024 01.04;👍;;
Thea Setiawati;5;16/10/2024 01.00;Oke...;;
Putri Meccasafa;2;16/10/2024 00.59;gaa bisa buka sg , macet² pdhl sinyal full;;
Wawa Yua;5;16/10/2024 00.59;Bagus sekaliiiiiiiiiiiiiiiiii!!!!!!!!!!!!!!!!;;
Muhammad Raihan;3;16/10/2024 00.54;"ini kenapa ya? semenjak di update jaringannya jadi nge lag"" padahal waktu saya buka aplikasi lain itu jaringanny lancar tolong pihak instagram";;
Minda Yanti;5;16/10/2024 00.42;Saya sangat suka;;
M A A;5;16/10/2024 00.33;👍;;
Gradiana Stellamaris;1;16/10/2024 00.33;REELSNYA GA BISA DIREFRESH!!?? UDAH BOLAK BALIK MASIH NONTON VIDEO YANG SAMA. KENAPA SIH!????;;
Rongi Saputra;5;16/10/2024 00.32;Saya hanya pedagang kecil-kecilan;;
febrian hattu;5;16/10/2024 00.31;💕;;
Muslimin Asry;3;16/10/2024 00.25;Boleh;;
Jonathan Aditya;5;16/10/2024 00.22;Bagus dan teruskan perkembangan nya;;
Fatkhul Go;5;16/10/2024 00.21;Aku suka pakai aplikasi ini;;
Eli Darni;5;16/10/2024 00.20;Bagus;;
Dimas Nur;1;16/10/2024 00.19;Ampas sering ngebug;;
Sapph Ikangoreng;1;16/10/2024 00.18;udh di refresh tapi masih sama aja postingan nya 😹;;
Eka vidia Fatmawati;1;16/10/2024 00.17;sering ngebug;;
P. Tegak;5;16/10/2024 00.08;Puji Tuhan... Engkau beri aku waktu hidup di era yang serba canggih seperti saat ini, sehingga bisa berbagi sukacita kepada teman, sahabat, kerabat, saudara, dan siapa saja tanpa batas🤲🤲🤲🙏;;
Maulidya AlHanafie;4;16/10/2024 00.00;Kenapa sering ngadat ya padahal sinyal bagus data bnyak;;
Abdur Rouf;5;15/10/2024 23.55;Instagram aplikasi yang sangat is the best;;
alvian pratama;3;15/10/2024 23.52;a9k👍;;
Febi Wicaksana;3;15/10/2024 23.50;Aplikasi ig ini bagus Untuk mngetahui berita nasional maupun internasional Mantap poko nyak;;
Silvia Yulianti;5;15/10/2024 23.47;Aku suka banget sama aplikasi ini;;
Edhy Shongka;5;15/10/2024 23.37;Aplikasi yg direkomendasikan;;
Syazwan Rizky alhabsy;4;15/10/2024 23.37;akhir akhir ini ig sering ngelag kalo mau repost vidio orng yang ngetag kita suka tbtb ga ada suara nya ,tolong dong pihak ig di perbaiki lagii🙏🙏;;
Devierra Aurellyn;1;15/10/2024 23.35;Aju banding mulu padahal ga ngapa ngapain;;
Ilham dzikri;5;15/10/2024 23.30;Keren;;
Sa'id Itqonul Himam;5;15/10/2024 23.28;Good;;
rifky malik01;1;15/10/2024 23.27;Add request friends ...;;
Farhan Farel;5;15/10/2024 23.09;Keren;;
Angahpdk Sinaro;5;15/10/2024 23.08;Mantaap indah;;
yusup maulana;5;15/10/2024 22.55;Lebih luas dan ramai ke seluruh dunia;;
Rangga Rangga;5;15/10/2024 22.46;Manntap;;
Sulis tia Agustin;1;15/10/2024 22.45;Napa si IG sekarang, mosting dikit aja d sangka spam trs postingan yg udah d post tuh d hapus sama IG, gmna si sekarang IG sejelek itu, padahal kontennya tidak mengandung apapun yg berbaur keburukan, konten nya cma fto biasa sma vidio biasa. Jelek banget IG!!;;
Hadi Febryan;5;15/10/2024 22.43;Karena seru melihat hal hal yg menarik dari Instagram;;
aghisna okok;5;15/10/2024 22.28;Bagus banget;;
Osviani;5;15/10/2024 22.21;Aplikasi yang bagus;;
HUSNUL MUBAROK;5;15/10/2024 22.20;Top bagus sekali;;
Sri nur Anggraeni;5;15/10/2024 22.19;bagus bangett inih instagram nya aku suka;;
Dadang;2;15/10/2024 22.17;Serius lag parahhh;;
Satrio Purnama;1;15/10/2024 22.07;Ngeleg terus lemot;;
Virgo Girl;1;15/10/2024 22.04;Wahai developer dan pemilik Meta. Saya harap perlindungan akun yang sudah tidak terpakai hapus saja. Jika ada akun yang tidak aktif alangkah lebih baik jika Meta hapus akunnya saja. Akun di IG dan FB harusnya sudah terhapus tapi ini masih ada. Mohon kerja samanya ya.;;
fernando umbu;5;15/10/2024 22.02;Aplikasi yang sangat luar biasa 🙏;;
Novianti Rienaldy;4;15/10/2024 21.41;Aduhh knp sih sering bgttt update. Jd Instagram nya suka erorr, blm lama update, ini update trz 😪;;
Hariyadi salaksa;5;15/10/2024 21.19;Pengalaman adalah pelajaran yang paling berharga;;
Izhabella Felichia;5;15/10/2024 21.12;Instagram terbaru;;
Akun Jebe;3;15/10/2024 20.55;Baik bagus;;
Zilong Solo;5;15/10/2024 20.47;Best;;
Gean Ansela;5;15/10/2024 20.42;Ok;;
COLD FREZEE;5;15/10/2024 20.39;Tolong dong kalo kita upload vidio, kualitas vidionya bisa di naikin. Soalnya saya kalo upload vidio kualitasnya suka pecah kalo di bikin story. Padahal vidio aslinya jernih.;;
Raffasya 14crb;5;15/10/2024 20.30;Good;;
Khoyron Khoyron;5;15/10/2024 20.27;Mantap;;
Rahmad Ramadan;5;15/10/2024 19.39;baguss;;
budi utomo;2;15/10/2024 19.37;tolong jangan sering menampilkan konten ikaln judi atau game, menurut saya itu sangat menggagu saat menggunakan aplikasi ini;;
Garangan Malayisa;5;15/10/2024 19.36;Sangat bagus;;
Rio Merdian;5;15/10/2024 19.30;Bahus;;
Abdul Wiwid;5;15/10/2024 19.26;Selalu ok;;
Wahyu Aris;5;15/10/2024 19.22;agak lelet;;
Twinsi Shibghatullah Syahida;5;15/10/2024 19.00;Bagus;;
urr girlss;1;15/10/2024 18.59;banyak bug nya, parah bgt gamau ngasi bintang 5 kalo belum bener bug nya;;
Eddy Abdul Rahman;5;15/10/2024 18.26;Very good;;
Andi Akbar;5;15/10/2024 18.24;Mntap;;
Reza Arbie;4;15/10/2024 18.16;Min kok akun gua ke ban Mulu udah ke 2 kli loh😭;;
Fajar 717 Official;5;15/10/2024 18.15;Sering bug;;
Neysalaudianaputri;3;15/10/2024 18.05;Sudsh di update tpi gbisa di buka trs gmn si;;
golden inside;5;15/10/2024 18.03;Great;;
ItsMeRyan;5;15/10/2024 18.01;I love this application;;
Susah Mikir;5;15/10/2024 17.59;Mntap;;
Sures Kumar;5;15/10/2024 17.52;Really great!!!;;
Muhidin;1;15/10/2024 17.51;butut;;
Akira;1;15/10/2024 17.49;"Ini knpa tiba"" liat postingan muter"" mulu nih giliran liat komentar nya lancar"" aja, buka apk yg lain juga lancar"" aj, udh ganti akun juga ttp sama aja, bnerin dong ini";;
Darling Darling;5;15/10/2024 17.48;Ok;;
gisat adhyaksa;5;15/10/2024 17.42;verynice;;
Azizzahratukullah Azizzah;1;15/10/2024 17.40;saya tidak bisa login ke akun saya pdahal username dan password nya udh bener tpi mlah salah ada kejadian kesalahan mohon diperbaiki saya mau login ke akun saya terimakasih🙏🙏🙏;;
Ahda Ayu Jihadul Hasanah;1;15/10/2024 17.34;Nii kenapa ya upload story waiting for connection muluuuu sihh... Padahal sinyal yaa aman;;
Agus Sugiarto;5;15/10/2024 17.28;🌾;;
Raffael Ambon;5;15/10/2024 17.28;Sangat membantu;;
Agus 123;5;15/10/2024 17.27;Cukup lumayan puas;;
Iwan Kurniawan;5;15/10/2024 17.27;Update Instagram;;
Raka Fazrian;1;15/10/2024 17.26;IKLAN JUDI ONLINE NYA BANYAK BANGET;;
Agel Bayupinangkis;1;15/10/2024 17.24;Ga jelas lama-lama bug trus;;
farhan Baehaqi;5;15/10/2024 17.15;Manyap;;
Umbu Fikram;5;15/10/2024 17.13;Saya senang menggunakan Instagram dan juga memilik banyak pengalaman dqn Teman stelah saya menggunakan nya;;
Adhitya Naufal;5;15/10/2024 17.05;Ini kenapa Instagram saya tidak bisa dibuka?sudah seharian saya coba tetap tidak bisa,mohon diperbaiki!;;
Zzz;1;15/10/2024 17.05;Hal yang berbau sara ga ke detected 😡;;
Lenny Aljailani;5;15/10/2024 17.01;Aplikasi yg sangat bagus dan memuaskan, sya ksih bintang 5 klau sja bintangnya ad 10 sya ksih 10 bintang;;
Duta Wibowo;5;15/10/2024 17.00;Mantap;;
Alfin Setiawan;1;15/10/2024 16.55;Banyak bug , serius;;
Deday Febriyanto;5;15/10/2024 16.54;Bagus ka;;
afri;2;15/10/2024 16.49;Pengen login ke akun tapi dikasih kode tapi malah gak masuk ke Gmail?!;;
Riduan Smart;1;15/10/2024 16.49;Selamet;;
Zidan Dwi Firmansyah;5;15/10/2024 16.32;Saya mau update dong kak udh berapa kali saya gabisa update apk ini,ko ga bisa update lagi yaa padahal saya belum update apk ig;;
Keling Dekil;1;15/10/2024 16.23;Aplikasi jelek;;
Hajran96 Hajran;5;15/10/2024 16.21;Sya senag ig ini yg terbaik🙏👍;;
Raji Saputra;1;15/10/2024 16.21;Kurang di story nya;;
Wodeh;5;15/10/2024 16.21;Bagus;;
Totok Irwanto;1;15/10/2024 16.19;Kenapa instagram cuma muter muter doang;;
karawacci dc;5;15/10/2024 16.19;mantab;;
Tadung Tadung;5;15/10/2024 16.13;Kece banget;;
Cah Wadang;5;15/10/2024 16.09;Jan Nyeni efek e;;
Andria Mahardika;5;15/10/2024 16.08;Nggak ribet,,,mudah d pahami;;
Umi Solekhah;1;15/10/2024 16.07;Gak bisa buat akun;;
camelia saqila;4;15/10/2024 16.01;kog sekarang Instagram kalau udah apload posting kog gk bisa tersimpan sendiri di gallery ? tolong donk tingkatkan lagi seperti semula;;
Kanjeng Namiroh;5;15/10/2024 16.00;Sangat bagus;;
NM 7X;1;15/10/2024 16.00;Setelah di update saat melihat story kok kualitas fotonya berkurang dan agak ngezoom dikit ya mohon di perbaiki ke semula, tidak nyaman untuk di pandang.;;
Kafrina Ana;5;15/10/2024 15.59;Seru bngt ada artis yg sya follow;;
rangga all;5;15/10/2024 15.55;nsndnndne w d d;;
Angga Fajar;1;15/10/2024 15.53;Kok buka ig langsung ngelah parah ya kalo buka yang lainnya lancar payah ni apk;;
Andintista;5;15/10/2024 15.53;Sangat puas;;
oppo new;5;15/10/2024 15.50;bagus;;
Kiki Electrical;5;15/10/2024 15.49;Sangat baik;;
Wahyudi;5;15/10/2024 15.49;Kerenn dan sangat bermanfaat;;
Arly Belfa;5;15/10/2024 15.45;Mantap;;
Rahmad Yusuf Channel;5;15/10/2024 15.45;Bagus untuk menyambungkan postingan pribadi;;
Mira Miranda;5;15/10/2024 15.43;Good;;
rzky perdana;1;15/10/2024 15.42;knpa si waktu mau ganti akun trs pas keluar trs msuk lagi akun nya malh gk bisa di buka, aneh lama lama ni instagram kocak bet dah cape gw;;
Arsyad Raditya;5;15/10/2024 15.37;Aku suka instagramnya gaess;;
Batang Bagian cidro 2;2;15/10/2024 15.35;Sangat keren bngt😇;;
Dwi Styaningsih;5;15/10/2024 15.34;Goodluck;;
Bks'warior 69;4;15/10/2024 15.26;Bagus;;
made sthawira juliarta;1;15/10/2024 15.22;buruk suka ngelag ngelagan;;
Nurul Daniswari;4;15/10/2024 15.14;Kadang suka susah dibuka;;
Roy Kasih Saputra Sinaga;4;15/10/2024 15.13;Lumayan;;
BEA JUNIA ISKA;2;15/10/2024 15.11;Sukak kesel aku tiap kali mau posting foto lama dari album/gallery, pasti yg muncul malah foto itu lagi itu lagi, gak ngerefresh banget! Banyakan hank nya😡;;
Dita Qurotul;1;15/10/2024 15.11;Kenapa di saat saya mau nge like postingan orang gabisa padahal sudah saya update tolong di perbaiki pihak ig tanggung jawab di update malah makin down kualitas nya bukan nya bagus malah makin buruk padahal sebelum nya gk gini pliss tolong perbaiki lagi ig sayaa admin ig mohon pertanggungjawaban nya jangan diam sajaaa;;
Rido Friendly;5;15/10/2024 15.11;mantappp;;
Pri Tu;5;15/10/2024 15.06;Lancar;;
Aulia Aja;5;15/10/2024 15.00;sangat sangat bgs;;
Yhussiana Putra;5;15/10/2024 14.59;I love you instagram😍;;
Syarif Imd;5;15/10/2024 14.58;good;;
Meilia P K;5;15/10/2024 14.52;sangat bagus;;
Dal Ban;4;15/10/2024 14.50;Asik sih;;
ι'м lιl-Ꮯнυиg;5;15/10/2024 14.50;Heehbaeee;;
Yuni Yuningsih;5;15/10/2024 14.46;bagus nih apk nya langsung aja di downlod yaah;;
Nazwa Permata;1;15/10/2024 14.37;kenapa dm dm pada ilang??? gjls bgt ampun, video arsip yg udh lama juga gbisa di liat,benerin dong,,, bintang satu ah bodo amat gasuka.;;
Zalfi Hikmal abrar;1;15/10/2024 14.37;aplikasinye banyak bug rusak da aplikasi tuh bole fix bugnye;;
NANDO WAYOI;5;15/10/2024 14.37;Mantap reels banyak trend2 baru 👍🏻🔥;;
Yusniar Kartiana sitorus;5;15/10/2024 14.36;Seru sih lumayan aja gitu;;
Amanda Salsabila;5;15/10/2024 14.36;pliss npa ig ku tidak dapat memuat ulang beranda ☝😞;;
Rendi Ended;5;15/10/2024 14.36;Aplikasi ini bagus sekali;;
Refadli Ramadhan;1;15/10/2024 14.35;Akun ku ga bisa di buka lagi udah dua minggu ga bisa di buka akun ku kasih solusi min;;
Indri Agita;5;15/10/2024 14.32;Instagram termasuk aplikasi media sosial favorit saya, cuma sekarang terlalu banyak iklan, jika saya ingin berbagi kabar dan ingin tahu kabar teman jadi jauh menscrolling;;
Irham Fahrezi;1;15/10/2024 14.30;Udah semingguan lebih instagram saya error, ga bisa liat gambar, cuma loading aja di gambar ga sama sekali muncul. Padahal buka aplikasi lain untuk streaming, video call, dll lancar. Sinyalpun penuh, tapi entah kenapa kok instagramnya error begini terus sampe sekarang.;;
Dede Zabran17;5;15/10/2024 14.29;enak;;
Akang Abdoel;5;15/10/2024 14.25;Good;;
Poisos Busiiwiw6778;1;15/10/2024 14.24;Tolol;;
Azizah Safinah;2;15/10/2024 14.22;Sayaa update story tidak adaa suaranyaaa!! sayaa kira hp saya yang rusakkk trnyataaa tdk mmg dri fitur ig nyaaa😭😭😭;;
Tesi Aulia;5;15/10/2024 14.22;Bgus;;
tono hartono;5;15/10/2024 14.22;Media yang sangat berguna dan membantu untuk berinteraksi dan komunikatif dengan yang lainnya;;
Riani Riani;4;15/10/2024 14.21;Smngat bgus ..cuma blom tau gmn supaya BS fyp;;
Samsung J2core;5;15/10/2024 14.20;Ķalau saya berhasil paket ini saya kemakam ayah saya Di Taman pahlawan bangil namanya yusup b a s;;
AZZAM;5;15/10/2024 14.20;Terimakasih;;
Ruswandi 635;5;15/10/2024 14.19;"Udah gak ada kata"" pokonya";;
Hoho Hehe;4;15/10/2024 14.19;Menyeunangkan;;
M Riski;1;15/10/2024 14.18;Sinyal bagus dipake ngegame, browsing, nonton youtube 4k pun lancar.. giliran buka ig, langsung sinyal jadi jelek.. buka story loading terus, buka feed pun sama begitu.. hadeh diupdate malah makin buruk nih aplikasi ig skrng;;
Alex Pgk;5;15/10/2024 14.16;Sangat bagus;;
Moktar Oppo;5;15/10/2024 14.13;Saya sangatlah butuh sekali program instagram ini satu pengetahuan buat mendengarkan tausiah maupun bidang bisnis maupun mendapatkan pengetauan bakat lainnya aminsaya kehilangan dari acara hingga acara yg bisa ikuti satu program yaitu memberikan bantuan rezeki untuk orang yg sangat membutuhkan apalagi yg memang sangat memerlukan sekali bantuan rezeki dari bapak/ibu yg memberi rezeki dan kebutuhan pokok yg sangat bermanpaat. Akun dan sandi saya tidak bisa dipergunakan bisa bantu saya umtuk. insta;;
Rasya Aditia;5;15/10/2024 14.11;ok;;
Yeni Safitri;5;15/10/2024 14.11;Sangat bagus aku suka Oh ya untuk filternya jangan terlalu lama dong loading nya jadi lama nunggunya;;
Ade Suripto;5;15/10/2024 14.09;Bagus;;
Herry Ismanto;5;15/10/2024 14.08;Sangat membantu;;
Fany Sulistyo;2;15/10/2024 14.06;Tolong di benerin dong instagram saya kok malah di nonaktifkan gabisa masuk akun gitu maksud nya apa ya? Berawal meng nonaktifkan pmalah pas di pencet dsrh buat vidio pendek ini bener akun anda apa bukan segala macem pas di out malah kek ilang akun, tolong di benerkan yaa hadehhh makin jelek sekali;;
Upen Upen;5;15/10/2024 14.05;Sangat baik;;
muhammad nabilan;1;15/10/2024 13.59;Baik;;
Asa mutawa Fika;5;15/10/2024 13.59;Suka kali karna banyak informasi penting yang ku dapatkan di instagram;;
Suryanti Inyong;1;15/10/2024 13.57;Balikin akun saya, saya g ngelanggar apa apa knp tiba tiba bgtt di blokir;;
Nadi Is nadi;5;15/10/2024 13.54;Asik;;
sakura chan;5;15/10/2024 13.54;Bagus banget disini bisa liat reels yg asik²;;
Lewi Toh;5;15/10/2024 13.53;👍;;
Tarisa Agnesia;1;15/10/2024 13.50;Jadi lemot gak secepat dulu buka instastory aja lama bgt;;
Ika Aulia;5;15/10/2024 13.47;Bagus suka banget sama semua efek nya😻🤝;;
Amok 761;5;15/10/2024 13.47;Fitur fitur nya semakin bagus dan cantik semoga updatean terbaru semakin baik dan bagus🙏🥰;;
Nanang Munandar;5;15/10/2024 13.43;Mantap;;
Irvina Faridah;3;15/10/2024 13.43;Top;;
Yeni Yulianti;5;15/10/2024 13.40;Ok;;
Agam Syaputra;5;15/10/2024 13.40;Sangat baik;;
riyal new;5;15/10/2024 13.38;mantap;;
Ridho_Oase Ch;5;15/10/2024 13.38;Okk dehh;;
Aldonni Rasmussen;5;15/10/2024 13.37;mantap;;
Retno Ayu Hapsari;3;15/10/2024 13.37;tolong dong kenapa upload reels videonya jadi nge zoom sendiri ? nangis banget, mana kerjaan juga 😭;;
Adrian jr Jr;1;15/10/2024 13.37;😒;;
Jihan Khairiyah;4;15/10/2024 13.36;Bagus;;
Mhd Anwaru;3;15/10/2024 13.35;Ya... Allah... Kenapa saya tidak bisa terbuka Daftar baru?! ( أَشْهَدُ أَنْ لا إلهَ إِلَّا اللهُ وَ أَشْهَدُ أَنَّ مُحَمَّدًا رَّسُوْلُ اللَّهِ ). Asyhadu an laa ilaha illallaahu, Wa asyhaduanna muhammadar rasulullah. Artinya: Aku bersaksi bahwa tidak ada Tuhan melainkan Allah. Dan aku bersaksi bahwa Nabi Muhammad adalah utusan Allah.;;
Yessika Elva;2;15/10/2024 13.32;Ngeposting foto dikasih musik tapi malah gak ada suaranya/musiknya tiba² ga ada yang tadinya ada;;
Gustiandra Saputra;5;15/10/2024 13.27;sangat seru;;
Suhanda Handa;5;15/10/2024 13.26;Banyak dapat pengalaman dari orang lain;;
Andriansyah Permana;3;15/10/2024 13.26;Ig skrng arsip nya udh ilang semua padahal banyak kenangan nya di situ;;
Waseto;5;15/10/2024 13.26;Ya allah brikanlah kesehatan jiwa ragaku untuk membahagyakan ank istriku;;
Nia Kurniasih;2;15/10/2024 13.25;knapa aku tdk bsa uplod cacatan tapi pake lagu;;
Syarip Hidayat csh;5;15/10/2024 13.25;Keren;;
Leony Illena Geusty;1;15/10/2024 13.25;Ini instagram saya kenapa lemot parah ya? Udh di uninstall, terus install ulanh, udh di ubah mode pesawat..tpi tetap lemot ngk jelas. Padahal kuota sama jaringan bagus2 aja.;;
Oman Pratama;5;15/10/2024 13.22;Apl Instagram terbaik;;
ferry man;5;15/10/2024 13.21;Bagus dan menghibur;;
Akmal Akmal;5;15/10/2024 13.21;Aplikasi ini sangat bagus;;
Wa Arma;5;15/10/2024 13.20;Sangat membantu dan bgus;;
Rizuki Azuhari;1;15/10/2024 13.17;Hari ini super lemooot,,, ku kira karna belum d update,, ternyata setelah d update pun sama ,, LEMOOOT;;
Lisma Ginting;5;15/10/2024 13.17;perkembangan semakin bagus Bintang: 5;;
Heri Rahman;4;15/10/2024 13.16;Good;;
Arfan;1;15/10/2024 13.15;Ra isa login;;
jhona puarada;5;15/10/2024 13.14;sangat-sangat bagus apk ini;;
Fathun Adelia;5;15/10/2024 13.12;"Aplikasih sangat"" Memuaskan";;
Septian Ramadhan;5;15/10/2024 13.09;Bagus;;
Neiad;5;15/10/2024 13.09;Bagus;;
Karni Saputra;4;15/10/2024 13.08;Ok sekali;;
saskya salsabila;1;15/10/2024 13.07;BUG BGT. tolong diperbaiki 🙏;;
Marvel Corneles;5;15/10/2024 12.59;Sangatt mendukung;;
epepcitra;5;15/10/2024 12.56;Saya suka dengan aplikasi NY👍🏻👍🏻;;
RAYSA NURYANTIMAGHFIRAH;1;15/10/2024 12.52;kntl g bisa download babii;;
Maria Angket;5;15/10/2024 12.49;Aplikasi sangat bagus;;
Arian Hidayatulloh;5;15/10/2024 12.40;Ok;;
Aji Brb2;1;15/10/2024 12.36;Ini gak bisa masuk ke akun IG lain anjir;;
Ilham Daffa;3;15/10/2024 12.31;Tolong perbaikannya dengan akun saya dffa_ilham tidak bisa follow akun lain, saya mohon perhatian dari pihak developer.;;
Anime;1;15/10/2024 12.30;Anehh cikk;;
Lisa Lisa;5;15/10/2024 12.28;Bagus;;
Sadar Sitohang;5;15/10/2024 12.27;Aplikasinya bagus banget;;
Hawa Sadidha;1;15/10/2024 12.26;kenapaa insta story di arsip ku ilanggg, ish parah bangettt ew;;
Pengguna Google;5;15/10/2024 12.21;I like it;;
Saulina Napitupulu;1;15/10/2024 12.20;Kenapa pas repost story orang gak ada suara ny kenapa ig sekarang kayak gini ayolah di perbaiki lebih baik kan jadi gak bisa ngerepost story orang lgi krna gak ada suara ny;;
Sulaiman ishak;5;15/10/2024 12.15;Semoga barokah;;
Andi Sukmadijaya;5;15/10/2024 12.14;Good;;
JOKO AZAM;5;15/10/2024 12.13;Bagus;;
Edy s Mensi;5;15/10/2024 12.10;Bagus banget sangat menghibur;;
Biyan Sunday;5;15/10/2024 12.06;Carikawa yang baik hati di instagram;;
recki saputra;5;15/10/2024 12.06;Aplikasi yg luar biasa mantap;;
Pikal Alfadisi;5;15/10/2024 12.06;Good luck;;
Ahmad Yunus (Ahmad yunus);5;15/10/2024 12.04;Bagus dan bermanfaat;;
Deri Nazra;5;15/10/2024 12.01;Belanjar untuk lebih baik;;
M Nugraha;5;15/10/2024 12.00;Mantap;;
Daduy Daduy;4;15/10/2024 12.00;Bagus;;
Mas gilang Ramadhan;2;15/10/2024 12.00;kenapa kaga bisa masuk ya??;;
Arnol Boison;4;15/10/2024 11.59;Isinya sangat bagus cuman boros di paketanya saja;;
Rendi Ramadan;1;15/10/2024 11.52;Gabisa login pake fb sih min;;
Sinta Puji;3;15/10/2024 11.50;"Woy tolong dong knp akun saya diblokir trs pdhl ngga ngelakuin apa"" Aneh bgt lu kembaliin deh gausah gitu aneh bgt";;
Alwan afghani;1;15/10/2024 11.47;update apa njir?;;
Fatma Tampolo;5;15/10/2024 11.43;bagus;;
Rodeox My;5;15/10/2024 11.38;Bagus sekali aplikasi nya;;
Moms ambyaar;5;15/10/2024 11.38;Ig tubsangat baik memuaskan efeknya jg pada cantik, ngelive streaming pn seru;;
widia puspita;1;15/10/2024 11.38;najis cacat banget kebanyakan bug asuuu;;
Park Hyung;1;15/10/2024 11.38;Makin banyak iklan judi🗿🗿🗿;;
andrii Dislaw;4;15/10/2024 11.36;Bagus;;
adel febiolha;5;15/10/2024 11.32;top bgt si wkwk;;
Jose Sihombing;5;15/10/2024 11.32;Seru digunakan tapi mohon bantuannya mau hapus foto tidak ada mohon tambahkan penghapusannya;;
Gelsishabnamdhuha Gelsi;1;15/10/2024 11.31;Kok gk bisa bikin akun baru lg siii;;
Edi Edi;1;15/10/2024 11.30;Apk nya kaya bkp;;
Morgan babaha Babaha;4;15/10/2024 11.29;Baik;;
Eka Fauziyah;1;15/10/2024 11.29;ehhh min akun aku kok ilang sii pdhl kan ga ngapa ngapain kok ilang si min tolong lah min balikin;;
Muhammadubay Dillah;5;15/10/2024 11.27;Sangat menyenangkan;;
firman;3;15/10/2024 11.25;mayanlah buat skrol²;;
Novy Gunadhi;5;15/10/2024 11.21;Oke aplikasinya;;
Lana lubis;5;15/10/2024 11.21;Baguss;;
Yusri Iyus;5;15/10/2024 11.15;Semoga bisa diterima;;
Karni Saja;5;15/10/2024 11.14;SNgat baik;;
kia kinara;5;15/10/2024 11.12;Pliss ig story repost nya harus kaya iPhones sihhh plisssss;;
Opik Ramdan;5;15/10/2024 11.10;Bagus;;
Dewi Andani;1;15/10/2024 11.08;Buruk, selalu minta di perbaharui trs;;
Ryzal Ryzal;5;15/10/2024 11.06;Keren;;
salsabill febriani;1;15/10/2024 11.04;aplikasi ga berguna, aplikasi yg jelek;;
Jean Syarbanu;5;15/10/2024 11.03;apk nya bagus bangett,ada banyak filter yang menarik dan lucu2🤩;;
