userName;score;at;content;;
Kadek Dwiky 05;1;16/10/2024 12.06;WOE AKUN GWEH KOK GABISA LIVE;;
Asep Tata;5;16/10/2024 12.01;Sangat bagus;;
Assalam Pati;5;16/10/2024 12.00;Cakep;;
Menduang City;1;16/10/2024 11.58;Jelek;;
Cherlyn Noviora;2;16/10/2024 11.53;apk nya sering ngebug eror terus;;
DeRisha_;5;16/10/2024 11.51;Keren;;
Rindang Adi Rosadi;5;16/10/2024 11.46;Video dan photo jernih;;
Siti Nurr;1;16/10/2024 11.45;Update mulu tp blm bisa reset sandi akun yg lupa password;;
indriyati madina;5;16/10/2024 11.44;Sangat baik;;
Andreas Pratama;1;16/10/2024 11.43;Ey akun saya hilang;;
Sulaiman;5;16/10/2024 11.42;Makasih saya ingin berkembang konten rells nya dan kedepannya;;
Fahri Ramdhani;5;16/10/2024 11.41;Nice;;
MARITAH MARITAH;5;16/10/2024 11.40;Main nya bagus bgt;;
Dwi Ismanto;5;16/10/2024 11.39;Oke;;
Sarinta Sitanggang;5;16/10/2024 11.39;Good apk;;
Randi Riski;5;16/10/2024 11.37;Nice;;
STVG 08;4;16/10/2024 11.37;Lumayan puas sih tapi skrng agak ribet kalau mau salin link nya nga kaya dulu simpel🙏🙏🙏;;
peler rk rowrr;5;16/10/2024 11.35;Bagus bgt aseliii cuyyy;;
JarCoks Official;1;16/10/2024 11.35;Lol ngeleg;;
the jack;5;16/10/2024 11.30;bagus;;
Natasya Faridatun5;5;16/10/2024 11.29;Sangat baguss;;
Akmaluddin Sidik;1;16/10/2024 11.25;Kualitas upload sangat jelek. Video saya yang jernih. Tapi setelah diupload di instagram malah jadi pecah. Tidak jernih;;
Marcelino Fransisco;5;16/10/2024 11.25;Kerennn;;
Brio Properti;5;16/10/2024 11.22;Menyenangkan;;
bagos gaming;1;16/10/2024 11.19;Ig sering eror saya siaran langsung gabisa post ngak membahayakan kena pelanggaran karena membahayakan tolong di perbaiki lagi sistem sistem di Instagram dan fitur fitur nya;;
Ad Gunawan;2;16/10/2024 11.19;Ig sy udh diupdate kok malah kembali ke versi lama sih,dan terakhir diupdate pada 2023;;
Ahmad ajh;5;16/10/2024 11.18;Mantap;;
Photo Cell;5;16/10/2024 11.12;Baguss bgttt;;
Panji Nurdianzah;4;16/10/2024 11.07;"Maaf baru bisa ngasih bintang 4 soalnya tema dm instagram gabisa di ganti pake muka tetanggaku yang cantikk nan imoetttt kalo gabisa kann jadi rugii,, nanti kalo udah bisa panji kasih bintang 5+komen ""top"" + emoji sip";;
muhammad robbi;1;16/10/2024 11.06;Apaansi jadi susah login gini;;
iDea Apple Depok;5;16/10/2024 11.02;Sangat baik dan berguna;;
Parayoga Apra;5;16/10/2024 11.01;Ok baik;;
Tjung Purnama;1;16/10/2024 11.01;Siang minta update, udh diupdate, sore minta update lagi ???;;
Hayam Jago;1;16/10/2024 11.01;Bug doang;;
Amel Septiani;5;16/10/2024 11.00;bagus;;
Supandi Golonggomo;5;16/10/2024 10.57;Keren ,sangat memantu, ada banyak motivasi saya temukan di Instagram sekarang;;
Fajrisa Maulinawati;5;16/10/2024 10.57;Aaaaa ini sangat kerennnn baungettt please 🥺;;
Destha daweng Daweng;5;16/10/2024 10.56;💫;;
Laila Zyla;5;16/10/2024 10.55;bagus fitur nya;;
Yohanes Tena;5;16/10/2024 10.46;The best;;
Suhartono Christina Atmosoewito;5;16/10/2024 10.44;Lancar, menyenangkan;;
Fitri Amelia;5;16/10/2024 10.44;Pasang App Instragram;;
Bilal M;5;16/10/2024 10.40;dari segi manapun saya suka, i like it😅;;
Sulanto Lanto;1;16/10/2024 10.40;isshhh instagram jelek;;
anisa dewi nur safitri;4;16/10/2024 10.39;Mantab tapi sering update tmbh besar penyimpanan;;
Abid Fadhil;1;16/10/2024 10.35;Daftar?;;
Tiara;5;16/10/2024 10.35;bag us banget;;
Cleo Alfaiz;2;16/10/2024 10.34;knp caption tidk muncul;;
Farhan Ardiansyah;5;16/10/2024 10.30;aplikasi ini sangat bagus banget ini filter nya bagus semua cocok ini aplikasi buat foto foto karna aplikasi ini sangat bagus dan saya suka liat aplikasi ini;;
Okih sulaiman badry;5;16/10/2024 10.29;Trmksih sdh mnjdi jmbtn untuk ttp bisa terhubung dengan orang terjayh;;
Yanto Ajah;5;16/10/2024 10.27;Apik;;
Po Yati;5;16/10/2024 10.24;Pasang app Instragram;;
asan syach;5;16/10/2024 10.24;Semoga Ig saya normal lagi;;
mubarok Sahril;5;16/10/2024 10.23;Sangat bagus dan sangat baik;;
Khatmi Kasidi;5;16/10/2024 10.23;Kenapa tiba tiba GK bisa di buka ya;;
Sonny Mangasa;5;16/10/2024 10.21;Sangat mewah;;
Hasmi ati;1;16/10/2024 10.21;Aplikasi asu gw padahal udah coba buat akun udah coba 10x TPI GK bisa bisa ngotak dikit buat aplikasi nya anjg nyesel gw cobain ni aplikasi burikkkkkkkkkkkk;;
Fagit Romadhon;5;16/10/2024 10.18;Slebewww🔥;;
Fira Fira;5;16/10/2024 10.18;Arjuna Suwakul;;
Maharani Sofa;1;16/10/2024 10.16;Gimana ini kenapa tiba tiba akun saya di tangguhkan tanpa alasan ,saya tidak upload yang aneh aneh ,kenapa tiba tiba di tangguhkan ,saya ajukan banding tapi muter muter terus;;
Op Wasti;4;16/10/2024 10.07;Sya sgt suka pda aplikasi ini;;
NANDA FIRMANSYAH;5;16/10/2024 10.07;Good :);;
Esca Hutama Prayoga;1;16/10/2024 10.06;akun dikunci sscara sepihak,verifikasi video ga bisa,login ngeblank hitam.dibenerin ga bisa,aneh instagram sekarang.;;
Reno Wahyu Hidayat;1;16/10/2024 10.06;bug mulu yatim;;
medist maya;5;16/10/2024 09.59;Top;;
Masliana Saad abdat;5;16/10/2024 09.59;Good;;
Fachrul Azhari;5;16/10/2024 09.58;thanks instagram;;
Salman Maraya;1;16/10/2024 09.57;Keluar mulu;;
Dedy Elizah;1;16/10/2024 09.54;BURIIKKKKK SUKAAA NGEBUGG;;
fauziah ashry16;3;16/10/2024 09.51;TIDAK BISA DI UPDATE!;;
Restu Suryanto;5;16/10/2024 09.49;ok;;
ABD WAHID;5;16/10/2024 09.46;the best;;
Ricky Setiawan;2;16/10/2024 09.45;Device saya setelah update ke Android 15, fitur stories pada aplikasi mengalami gangguan (freeze) ketika mencoba melihat stories selanjutnya . Tolong diperbaiki;;
Faiz Ahmad;5;16/10/2024 09.45;Sangat bagus untuk relasi dan komunikasi;;
Yusrizal Yunus;5;16/10/2024 09.44;Mantap;;
Alfiana desi;5;16/10/2024 09.43;Bagus bgttr;;
Yati ch;3;16/10/2024 09.36;Aplikasi bagus sih, tapi kenapa saya tidak lagi bisa membagi link video, disuruh update, pas saya buka instagram lewat playstore tidak ada pilihan tuk update cuma uninstal sama buka pilihannya tolong bagaimana ini solusinya;;
Riskamyyzapratiwi;1;16/10/2024 09.36;Aplikasi jelek.;;
Rahayu Intan;5;16/10/2024 09.35;saya memberi bintang lima karena aplikasi ini bagus dan jarang ngeleg di saya;;
Marselluvia Marsel;5;16/10/2024 09.33;Aki suka sama intangam ini;;
larabudi Wanci;5;16/10/2024 09.32;Bgus bnget untuk mengunggah foto' kitaa😍😍😘;;
randi rustandi;1;16/10/2024 09.25;Cuma aplikasi ini yang lemot, aplikasi lain lancar, aneh aja;;
Salsa Bila;2;16/10/2024 09.23;Gak bagus;;
Dedi Oding;1;16/10/2024 09.23;Kalo donlot lama banget sampai 2 hari 😠😠😠😠😠😠😠😠😠😠😠😠💀💀;;
ambo alang;1;16/10/2024 09.18;gak bisa di downlood jelek banget😒;;
renggahebat 123;5;16/10/2024 09.05;Anto;;
RAFITA SELFIANA;4;16/10/2024 08.59;Karna bagus bagus efek nya;;
Pratama Han;5;16/10/2024 08.59;Puas dengan kerja IG,,,cma bantu tambahi fitur pengeditan vidio nya biar tambah cantik;;
Oliv;1;16/10/2024 08.58;"apk gajelas, suka ngebug tiba"" akun di tangguhkan padahal gabuat konten aneh"" kalo blm bisa buat aplikasi gausah buat lah";;
Tiro Pratama;5;16/10/2024 08.58;Mohon maaf sebelum nya Giman saya mau laporan soal akun saya yang terkunci ketika di masokkan id samaa pasword nya keluar putih saja layar hp nya mohon konfirmasi nya;;
Muhamad Kholid;5;16/10/2024 08.58;Seru;;
